ticker,sentiment_breakdown,total_trades,avg_return,median_return,win_rate,max_gain,max_loss,total_return,full_period_return
SPY,"{'POSITIVE': 398, 'NEGATIVE': 66, 'STRONGLY_NEGATIVE': 16, 'STRONGLY_POSITIVE': 13}",493,-0.010966857959620302,0.10496552366802137,53.7525354969574,6.5862854898960705,-6.5862854898960705,-5.406660974092809,21.296082334379406
TSLA,"{'POSITIVE': 150, 'NEGATIVE': 98, 'STRONGLY_NEGATIVE': 23, 'STRONGLY_POSITIVE': 4}",275,-0.4627993652453577,-0.24825973881392738,47.27272727272727,20.694924281715586,-19.851331145023575,-127.26982544247336,-35.689435077708694
SPX,"{'POSITIVE': 234, 'NEGATIVE': 48, 'STRONGLY_POSITIVE': 28, 'STRONGLY_NEGATIVE': 9}",319,-0.12416863437271321,0.20976594025319262,55.4858934169279,6.244653695608527,-6.244653695608527,-39.609794364895514,16.49057472770079
QQQ,"{'POSITIVE': 155, 'NEGATIVE': 26, 'STRONGLY_NEGATIVE': 3, 'STRONGLY_POSITIVE': 1}",185,0.18566685219907697,-0.11228989877479778,47.02702702702703,7.389676738036832,-6.786723175199505,34.34836765682924,17.353849729465033
AAPL,"{'POSITIVE': 151, 'NEGATIVE': 48, 'STRONGLY_NEGATIVE': 3, 'STRONGLY_POSITIVE': 2}",204,0.6629823977430599,0.5513059318526414,59.31372549019608,7.534198243220547,-10.867790345653194,135.24840913958423,27.694107969308
NVDA,"{'POSITIVE': 140, 'NEGATIVE': 79, 'STRONGLY_NEGATIVE': 21, 'STRONGLY_POSITIVE': 11}",251,-0.2837639771272356,-0.22875724944863007,47.01195219123506,21.824463855732958,-31.347847298496756,-71.22475825893613,262.6891142745342
DXY,"{'POSITIVE': 212, 'NEGATIVE': 27, 'STRONGLY_POSITIVE': 23, 'STRONGLY_NEGATIVE': 6}",268,0.061019533890074786,0.03824322009538528,51.49253731343284,3.1272587703903953,-3.037768425123044,16.353235082540042,5.693173518378436
AMZN,"{'POSITIVE': 56, 'NEGATIVE': 39, 'STRONGLY_POSITIVE': 7, 'STRONGLY_NEGATIVE': 5}",107,-0.8782771844628168,-0.8379912419667623,39.25233644859813,10.927379902648916,-14.253727221812884,-93.9756587375214,2.55090493145691
COIN,"{'POSITIVE': 73, 'NEGATIVE': 72, 'STRONGLY_NEGATIVE': 15, 'STRONGLY_POSITIVE': 9}",169,-0.7600081132571088,-0.13019084858053587,47.928994082840234,18.949553601865542,-26.09511788955883,-128.4413711404514,-39.088587235164404
AMD,"{'POSITIVE': 44, 'NEGATIVE': 33, 'STRONGLY_NEGATIVE': 8, 'STRONGLY_POSITIVE': 2}",87,-0.3852544236827768,0.1796622428786976,52.87356321839081,13.379301180899416,-15.701487510010637,-33.51713486040158,-3.9824929051087476
