epoch,loss,accuracy,precision,recall,f1,kappa,mcc,roc_auc
1,0.6675767214946328,0.7533274179236912,0.7065377120552795,0.7533274179236912,0.6842558169452373,0.20293201427764884,0.268395544627425,0.0
2,0.49358232009487,0.7774622892635314,0.7616824169773327,0.7774622892635314,0.7644147003588571,0.43652210774505507,0.4426269572361375,0.0
3,0.38919733398090955,0.7732031943212068,0.7733596134978571,0.7732031943212068,0.772676895099049,0.481712251784816,0.481810078369174,0.0
4,0.28945137711600094,0.7749778172138421,0.7528152488075097,0.7749778172138421,0.7506642196198638,0.38729899818835434,0.40632166113014334,0.0
5,0.2127432316393612,0.7646850044365572,0.754834729961042,0.7646850044365572,0.7579866877652179,0.43070851095732265,0.432818413793517,0.0
6,0.1604405119750752,0.7742679680567879,0.7612930270167553,0.7742679680567879,0.7642655715724598,0.4421886669757267,0.4456372396982885,0.0
7,0.1191702994304485,0.7680567879325644,0.7629425319935202,0.7680567879325644,0.7647880330104287,0.4542132642210742,0.45473261861095815,0.0
8,0.0964329347088457,0.7643300798580301,0.7563893278864567,0.7643300798580301,0.7596657373845112,0.4401376298649924,0.44101770964399833,0.0
9,0.08112767498445815,0.7685891748003549,0.7572215073162745,0.7685891748003549,0.7611004106637771,0.43848412324029573,0.440423918872757,0.0
10,0.06709245600816288,0.7701863354037267,0.7571258144584704,0.7701863354037267,0.7611266693656639,0.4375274787615766,0.44011469921237023,0.0
11,0.056027404398170236,0.7639751552795031,0.759510723851716,0.7639751552795031,0.7613974237479824,0.44888889477168226,0.44911698081097834,0.0
12,0.05054403876924109,0.7664596273291926,0.7522314765784072,0.7664596273291926,0.7569774018258456,0.42471032107383644,0.4279030368529207,0.0
13,0.040832222190158765,0.7687666370896185,0.7596891066480463,0.7687666370896185,0.7624150616760268,0.44667039351004734,0.4478832209144067,0.0
14,0.03457248039580644,0.7675244010647737,0.7624234331347692,0.7675244010647737,0.7640103748169155,0.4545857290512739,0.4551117374491577,0.0
15,0.029697219395019892,0.7728482697426797,0.7638237637246312,0.7728482697426797,0.7674062514532798,0.4569887478444197,0.45815320992057457,0.0
16,0.024726324761649918,0.7753327417923691,0.7651171516947566,0.7753327417923691,0.7679373930613372,0.45585903962714214,0.4577055401488045,0.0
17,0.020288489891164604,0.7749778172138421,0.7628468682038214,0.7749778172138421,0.765994923389289,0.44806103202030534,0.4508156759456022,0.0
18,0.016459697147605264,0.7680567879325644,0.7619237340293514,0.7680567879325644,0.7624195929410087,0.45019075499861716,0.4511056782665126,0.0
19,0.013194488714441836,0.7701863354037267,0.7610340370326124,0.7701863354037267,0.7643668288663374,0.44978673682421577,0.4510033760168305,0.0
